circuitId,raceId,race_prcp,quali_prcp,fp1_prcp,fp2_prcp,fp3_prcp,sprint_prcp
10,869,0.0,\N,\N,\N,\N,\N
11,870,0.0,\N,\N,\N,\N,\N
13,871,0.0,\N,\N,\N,\N,\N
14,872,0.0,\N,\N,\N,\N,\N
15,873,0.0,\N,\N,\N,\N,\N
22,874,0.0,\N,\N,\N,\N,\N
35,875,0.0,\N,\N,\N,\N,\N
68,876,\N,\N,\N,\N,\N,\N
24,877,0.0,\N,\N,\N,\N,\N
69,878,0.0,\N,\N,\N,\N,\N
18,879,0.0,\N,\N,\N,\N,\N
1,880,0.0,\N,\N,\N,\N,\N
2,881,0.0,\N,\N,\N,\N,\N
17,882,0.0,\N,\N,\N,\N,\N
3,883,0.0,\N,\N,\N,\N,\N
4,884,0.0,\N,\N,\N,\N,\N
6,885,0.0,\N,\N,\N,\N,\N
7,886,0.0,\N,\N,\N,\N,\N
9,887,0.0,\N,\N,\N,\N,\N
20,888,0.0,\N,\N,\N,\N,\N
11,890,0.0,\N,\N,\N,\N,\N
13,891,0.1,\N,\N,\N,\N,\N
14,892,0.0,\N,\N,\N,\N,\N
15,893,0.0,\N,\N,\N,\N,\N
35,894,0.0,\N,\N,\N,\N,\N
22,895,0.0,\N,\N,\N,\N,\N
68,896,\N,\N,\N,\N,\N,\N
24,897,0.0,\N,\N,\N,\N,\N
69,898,0.0,\N,\N,\N,\N,\N
18,899,0.0,\N,\N,\N,\N,\N
1,900,0.0,\N,\N,\N,\N,\N
2,901,0.0,\N,\N,\N,\N,\N
3,902,0.0,\N,\N,\N,\N,\N
17,903,0.0,\N,\N,\N,\N,\N
4,904,0.0,\N,\N,\N,\N,\N
6,905,0.0,\N,\N,\N,\N,\N
7,906,0.0,\N,\N,\N,\N,\N
70,907,0.0,\N,\N,\N,\N,\N
9,908,0.0,\N,\N,\N,\N,\N
10,909,0.1,\N,\N,\N,\N,\N
11,910,0.0,\N,\N,\N,\N,\N
13,911,0.0,\N,\N,\N,\N,\N
14,912,0.0,\N,\N,\N,\N,\N
15,913,0.0,\N,\N,\N,\N,\N
